Album,Artist,Song,
Dynamite 78,Richard Clapton–,Deep Water,
Dynamite 78,Lou Rawls–,You'll Never Find Another Love Like Mine,
Dynamite 78,Paul O'Gorman–,Ride Ride America,
Dynamite 78,Rose Royce–,I Wanna Get Next To You,
Dynamite 78,Jeff St. John–,Fool In Love,
Dynamite 78,Joe Tex–,Ain't Gonna Bump No More,
Dynamite 78,Sherbet–,High Rollin',
Dynamite 78,Tina Charles–,Dance Little Lady Dance,
Dynamite 78,Split Enz–,My Mistake,
Dynamite 78,Marcia Hines–,What I Did For Love,
Dynamite 78,Andy Upton–,Stop In The Name Of Love,
Dynamite 78,T.M.G.*–,Naturally,
Dynamite 78,Hush (7)–,Messin Around,
Dynamite 78,Air Supply–,Do What You Do,
Dynamite 78,Mother Goose–,Baked Beans,
Knockout,Chic–,Le Freak,
Knockout,Alicia Bridges–,I Love The Nightlife,
Knockout,Leif Garrett–,I Was Made For Dancing,
Knockout,Gloria Gaynor–,I Will Survive,
Knockout,Ambrosia (2)–,How Much I Feel (Edited Version),
Knockout,Peaches & Herb–,Shake Your Groove Thing,
Knockout,Max Merritt–,Dirty Work,
Knockout,Dire Straits–,Water Of Love (Edited Version),
Knockout,Manhattan Transfer*–,Where Did Our Love Go,
Knockout,The Mojo Singers–,C'Mon Aussie C'Mon,
Knockout,Elton John–,Part Time Love,
Knockout,Linda Ronstadt–,Just One Look,
Knockout,Eric Clapton–,Promises,
Knockout,Jon English (3) & Mario Millo–,Six Ribbons,
Knockout,Talking Heads–,Take Me To The River,
Knockout,The Boomtown Rats–,Rat Trap,
Knockout,Queen–,Fat Bottomed Girls,
Knockout,Cold Chisel–,Breakfast At Sweethearts,
18 Hot Tracks,Village People–,Y.M.C.A.,
18 Hot Tracks,Ol' 55–,Ruby,
18 Hot Tracks,The Oak Ridge Boys–,Easy,
18 Hot Tracks,"Dean Friedman, Denise Marsa–",Lucky Stars,
18 Hot Tracks,Toby Beau–,My Angel Baby,
18 Hot Tracks,Daryl Hall & John Oates–,It's A Laugh,
18 Hot Tracks,Evelyn King–,Shame,
18 Hot Tracks,Wha-Koo–,Fabulous Dancer,
18 Hot Tracks,Kellee Patterson–,"If It Don't Fit, Don't Force It",
18 Hot Tracks,Plastic Bertrand–,Ca Plane Pour Moi,
18 Hot Tracks,John St. Peeters–,Deep Inside Of Me,
18 Hot Tracks,The Hawking Brothers–,One Day At A Time,
18 Hot Tracks,Dolly Parton–,Heartbreaker,
18 Hot Tracks,George Thorogood & The Destroyers–,You Got To Lose,
18 Hot Tracks,John Travolta–,Let Her In,
18 Hot Tracks,Renee Geyer–,Baby Be Mine,
18 Hot Tracks,Al Stewart–,Time Passages,
18 Hot Tracks,ABBA–,Thank You For The Music,
